config,platform,i,run,ni,nj,nk,nranks,gridpoints,gridpoints_per_rank,dt,nsteps,main_loop,total_runtime,init,termination,sec_per_step,throughput,continuity,continuity_frac,kernel_ppm_limit_pos,kernel_reconstruction_x,kernel_reconstruction_y,kernel_zonal_edge_thickness,kernel_meridional_edge_thickness,kernel_ppm_limit_pos_source,kernel_reconstruction_x_source,kernel_reconstruction_y_source,kernel_zonal_edge_thickness_source,kernel_meridional_edge_thickness_source
dev_turbo_CPU,cpu,1,1,32,32,100,1,102400,102400.0,1200,150,18.391943,18.884244,0.447039,0.014643,0.12261295333333334,835148.3037980271,9.749879,0.5301168560602868,0.499048,0.449688,0.439024,0.45211,0.439389,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,1,2,32,32,100,1,102400,102400.0,1200,150,18.308753,18.498109,0.175856,0.001354,0.12205835333333333,838942.9908197462,9.718891,0.5308330392572339,0.49897,0.449389,0.438669,0.451824,0.438998,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,1,3,32,32,100,1,102400,102400.0,1200,150,18.345488,18.53437,0.175115,0.001463,0.12230325333333333,837263.0916114087,9.744991,0.5311927924730049,0.498545,0.44928,0.43898,0.451624,0.439319,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,2,1,64,32,100,2,204800,102400.0,600,150,21.96135,22.173472,0.190089,0.001968,0.14640899999999998,1398821.1107240675,10.853743,0.4942202095954939,0.44298,0.837205,0.802415,0.839019,0.80447,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,2,2,64,32,100,2,204800,102400.0,600,150,21.925139,22.127393,0.184251,0.002233,0.14616759333333335,1401131.3679698906,10.790393,0.4921470737312087,0.442971,0.837249,0.804461,0.839031,0.806338,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,2,3,64,32,100,2,204800,102400.0,600,150,21.955165,22.1543,0.181403,0.002029,0.14636776666666668,1399215.1732861036,10.818736,0.4927649598625198,0.442983,0.837243,0.803469,0.839287,0.80585,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,4,1,64,64,100,4,409600,102400.0,600,150,24.077294,24.28686,0.189799,0.002161,0.16051529333333334,2551781.7741478756,11.591333,0.48142174947068395,0.458825,0.906215,0.913822,0.909403,0.917264,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,4,2,64,64,100,4,409600,102400.0,600,150,24.365834,24.570173,0.185444,0.002117,0.16243889333333333,2521563.5959762344,11.739636,0.48180727160826925,0.457357,0.982747,0.977069,0.985656,0.980682,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,4,3,64,64,100,4,409600,102400.0,600,150,24.325251,24.530556,0.186404,0.00214,0.16216834000000002,2525770.4432320143,11.736776,0.48249352082739044,0.457608,0.981634,0.981329,0.984393,0.984767,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,8,1,128,64,100,8,819200,102400.0,300,150,31.858833,32.091717,0.204875,0.002522,0.21239222,3857015.1015889375,14.340208,0.4501171778639852,0.466344,1.423267,1.312603,1.426626,1.319031,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,8,2,128,64,100,8,819200,102400.0,300,150,31.673469,31.901977,0.203151,0.002539,0.21115646000000002,3879587.6763609317,14.311065,0.4518313102994812,0.467498,1.383369,1.341302,1.386929,1.348041,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,8,3,128,64,100,8,819200,102400.0,300,150,31.549157,31.777846,0.203249,0.002561,0.21032771333333333,3894874.275087604,14.095995,0.44679466395885,0.44655,1.319549,1.282942,1.324345,1.289786,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,16,1,128,128,100,16,1638400,102400.0,300,150,49.837992,50.14024,0.253204,0.005766,0.33225328,4931177.805076898,21.079478,0.42296001813235173,0.770134,2.468551,2.08287,2.473298,2.092516,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,16,2,128,128,100,16,1638400,102400.0,300,150,49.646761,49.957153,0.25759,0.005895,0.33097840666666667,4950171.875260906,20.986804,0.42272252161626417,0.767693,2.470348,2.092528,2.475005,2.101814,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,16,3,128,128,100,16,1638400,102400.0,300,150,49.575365,49.886106,0.258276,0.005865,0.33050243333333335,4957300.869090929,20.982534,0.4232451742917072,0.772986,2.464781,2.090627,2.469731,2.100202,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,32,1,256,128,100,32,3276800,102400.0,150,150,50.403634,50.764188,0.297772,0.006152,0.33602422666666665,9751677.82545203,20.95901,0.41582339082931996,0.753152,2.468855,2.135867,2.473348,2.145728,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,32,2,256,128,100,32,3276800,102400.0,150,150,50.179247,50.54448,0.314821,0.006166,0.3345283133333333,9795284.492810344,20.725678,0.4130328619718028,0.750899,2.364361,2.2086,2.368906,2.217959,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,32,3,256,128,100,32,3276800,102400.0,150,150,50.617665,50.952378,0.283986,0.006131,0.3374511,9710443.972474826,20.986141,0.41460112788687503,0.753688,2.470999,2.154606,2.475696,2.164989,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,64,1,256,256,100,64,6553600,102400.0,150,150,51.778937,52.254597,0.419769,0.006764,0.34519291333333335,18985326.02166012,21.505752,0.41533784287614867,0.743589,2.482277,2.151744,2.486939,2.161559,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,64,2,256,256,100,64,6553600,102400.0,150,150,51.305088,51.856881,0.467318,0.006759,0.34203392,19160672.719243754,21.495836,0.4189805892156349,0.738417,2.471446,2.158256,2.476169,2.168167,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,64,3,256,256,100,64,6553600,102400.0,150,150,51.733867,52.261164,0.444573,0.006676,0.34489244666666663,19001865.8377113,21.478292,0.4151688873364135,0.741903,2.471301,2.15421,2.476062,2.164177,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,128,1,512,256,100,128,13107200,102400.0,75,150,50.948301,51.647605,0.578879,0.006494,0.33965534000000003,38589706.84812433,21.162583,0.415373674580434,0.690548,2.419521,2.172126,2.424376,2.182804,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,128,2,512,256,100,128,13107200,102400.0,75,150,50.85815,51.382456,0.457781,0.006496,0.33905433333333335,38658110.84359144,21.141401,0.4156934729242019,0.688602,2.416521,2.169252,2.421377,2.179817,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,128,3,512,256,100,128,13107200,102400.0,75,150,50.96417,51.474454,0.443659,0.006618,0.33976113333333335,38577690.95425276,21.156589,0.41512672530524874,0.689591,2.414868,2.159636,2.419724,2.170261,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,256,1,512,512,100,128,26214400,204800.0,75,150,103.584508,104.584653,0.864537,0.01,0.6905633866666666,37960888.9004908,43.281473,0.41783731791244305,1.90974,5.041244,4.429585,5.066444,4.455794,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,256,2,512,512,100,128,26214400,204800.0,75,150,103.764828,104.586192,0.742444,0.010215,0.6917655199999999,37894921.38897007,43.357862,0.4178473846648693,1.928904,5.102135,4.41577,5.130206,4.442444,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,256,3,512,512,100,128,26214400,204800.0,75,150,103.593047,104.400654,0.731043,0.010042,0.6906203133333333,37957759.8484964,43.291691,0.417901512251107,1.92766,5.067255,4.40834,5.094931,4.432662,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,512,1,1024,512,100,128,52428800,409600.0,37,150,279.996211,281.545483,1.413076,0.009825,1.8666414066666668,28087237.22336371,119.953958,0.42841279020022166,6.684075,14.679024,12.608649,14.72969,12.620476,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,512,2,1024,512,100,128,52428800,409600.0,37,150,278.593051,279.965014,1.29197,0.009802,1.8572870066666667,28228701.224855747,119.747465,0.42982933195989875,6.680268,14.616516,12.660057,14.665866,12.671964,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,512,3,1024,512,100,128,52428800,409600.0,37,150,280.213859,281.580157,1.286004,0.009894,1.8680923933333333,28065421.275255337,120.470618,0.42992383899184655,6.77034,14.811738,12.812615,14.869318,12.826829,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,1024,1,1024,1024,100,128,104857600,819200.0,37,150,546.167688,548.917473,2.604364,0.016792,3.64111792,28798188.442081545,226.788678,0.4152363513676042,11.934384,25.480377,23.143619,25.52641,23.14943,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,1024,2,1024,1024,100,128,104857600,819200.0,37,150,549.596686,552.321391,2.647714,0.010192,3.6639779066666667,28618513.176405873,233.176944,0.4242691958299035,13.75687,28.463887,25.033169,28.509841,25.038943,mom6,mom6,mom6,mom6,mom6
dev_turbo_CPU,cpu,1024,3,1024,1024,100,128,104857600,819200.0,37,150,552.284495,554.818649,2.454134,0.01175,3.6818966333333334,28479235.14492291,236.02769,0.42736613491204384,14.154123,29.324147,25.832744,29.363137,25.838557,mom6,mom6,mom6,mom6,mom6
iturbo_CPU_amrex,cpu,1,1,32,32,100,1,102400,102400.0,1200,150,23.289248,23.571811,0.268004,0.001417,0.15526165333333333,659531.8148529313,14.646512,0.6288958750407054,0.5127,0.8613,0.7227,0.8619,0.7232,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,1,2,32,32,100,1,102400,102400.0,1200,150,24.155469,24.356393,0.187596,0.001341,0.16103646,635880.8433816789,15.513824,0.642248925077795,0.5129,0.8628,0.7241,0.8634,0.7245,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,1,3,32,32,100,1,102400,102400.0,1200,150,23.249531,23.449109,0.18644,0.001309,0.15499687333333334,660658.4881217603,14.613325,0.6285427865190054,0.5127,0.8612,0.7229,0.8618,0.7234,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,2,1,64,32,100,2,204800,102400.0,600,150,27.661508,27.871355,0.193308,0.001948,0.18441005333333335,1110568.5199809063,16.39757,0.5927937840554464,0.515,0.8878,0.7408,0.8885,0.7415,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,2,2,64,32,100,2,204800,102400.0,600,150,27.623345,27.836386,0.195419,0.001983,0.18415563333333335,1112102.8246217105,16.398068,0.5936307858443646,0.5147,0.8897,0.7426,0.8904,0.7434,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,2,3,64,32,100,2,204800,102400.0,600,150,27.46325,27.774312,0.194119,0.101436,0.18308833333333333,1118585.7464065615,16.293424,0.5932809845884957,0.5149,0.8899,0.7414,0.8906,0.7421,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,4,1,64,64,100,4,409600,102400.0,600,150,30.662986,30.887431,0.204719,0.002158,0.20441990666666668,2003718.75067875,17.915343,0.584266092023784,0.5164,0.9123,0.7898,0.9131,0.7908,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,4,2,64,64,100,4,409600,102400.0,600,150,30.787028,31.010712,0.204815,0.002356,0.20524685333333334,1995645.6985714892,17.927863,0.5823187285242343,0.5165,0.9111,0.7851,0.9119,0.7861,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,4,3,64,64,100,4,409600,102400.0,600,150,30.419639,30.657,0.216942,0.002281,0.20279759333333333,2019747.8346143423,17.774701,0.5843166317654197,0.5166,0.9114,0.7942,0.9122,0.7952,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,8,1,128,64,100,8,819200,102400.0,300,150,42.511999,42.763098,0.223753,0.002626,0.2834133266666667,2890478.0506792916,24.241098,0.5702177872181452,0.6412,1.303,1.099,1.304,1.1,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,8,2,128,64,100,8,819200,102400.0,300,150,41.622494,41.873658,0.225425,0.002593,0.2774832933333334,2952249.8099224903,24.136774,0.5798973506969572,0.6416,1.28,1.096,1.282,1.098,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,8,3,128,64,100,8,819200,102400.0,300,150,41.547809,41.808666,0.235314,0.0026,0.27698539333333333,2957556.6788612125,24.202061,0.5825111259176146,0.6434,1.28,1.127,1.282,1.129,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,16,1,128,128,100,16,1638400,102400.0,300,150,67.77118,68.115046,0.29515,0.005813,0.45180786666666667,3626320.214580888,38.902215,0.574022984401334,0.9064,2.345,1.76,2.347,1.762,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,16,2,128,128,100,16,1638400,102400.0,300,150,67.712787,68.149551,0.384822,0.005927,0.45141858,3629447.418845719,38.769421,0.5725568643334678,0.8982,2.352,1.75,2.354,1.752,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,16,3,128,128,100,16,1638400,102400.0,300,150,67.795167,68.140413,0.293282,0.005799,0.45196778000000004,3625037.165259877,39.035302,0.575782961047946,0.9079,2.345,1.778,2.347,1.78,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,32,1,256,128,100,32,3276800,102400.0,150,150,68.087096,68.487338,0.33997,0.006383,0.45391397333333333,7218989.043092688,38.679857,0.5680937985664714,0.9089,2.342,1.782,2.345,1.785,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,32,2,256,128,100,32,3276800,102400.0,150,150,68.198692,68.601712,0.352943,0.006359,0.45465794666666665,7207176.348778068,38.629381,0.5664240745262388,0.9044,2.331,1.797,2.334,1.799,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,32,3,256,128,100,32,3276800,102400.0,150,150,68.082536,68.55143,0.419126,0.006081,0.45388357333333335,7219472.553137562,38.677913,0.5681032945071258,0.9075,2.344,1.789,2.346,1.791,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,64,1,256,256,100,64,6553600,102400.0,150,150,69.167073,69.682513,0.459778,0.006844,0.46111382,14212543.011614788,38.726402,0.5598964987285208,0.8716,2.313,1.44,2.315,1.443,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,64,2,256,256,100,64,6553600,102400.0,150,150,69.144425,69.734321,0.493468,0.007179,0.4609628333333333,14217198.277373772,38.668848,0.559247517063017,0.8613,2.306,1.416,2.308,1.419,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,64,3,256,256,100,64,6553600,102400.0,150,150,69.46436,70.114789,0.569407,0.006702,0.4630957333333333,14151717.51384451,38.610371,0.5558299392666973,0.8535,2.28,1.403,2.283,1.406,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,128,1,512,256,100,128,13107200,102400.0,75,150,68.145709,68.871028,0.605437,0.006476,0.45430472666666666,28851119.591403767,38.134419,0.5596011775297547,0.8516,2.246,1.455,2.248,1.457,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,128,2,512,256,100,128,13107200,102400.0,75,150,67.615317,68.165251,0.487463,0.006542,0.45076878000000004,29077435.22077993,37.521677,0.5549286561800781,0.8077,2.138,1.393,2.14,1.396,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,128,3,512,256,100,128,13107200,102400.0,75,150,68.012765,68.560701,0.482648,0.006582,0.45341843333333337,28907514.64081779,38.059499,0.5595934674909924,0.8457,2.24,1.442,2.242,1.444,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,256,1,512,512,100,128,26214400,204800.0,75,150,138.805161,139.857311,0.923253,0.010444,0.92536774,28328629.65376338,78.061994,0.5623853856557971,2.298,4.763,3.502,4.765,3.505,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,256,2,512,512,100,128,26214400,204800.0,75,150,138.550964,139.442797,0.813404,0.010197,0.9236730933333333,28380603.68890685,77.814268,0.5616292067083705,2.283,4.748,3.491,4.75,3.494,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,256,3,512,512,100,128,26214400,204800.0,75,150,138.52258,139.415862,0.812476,0.010336,0.9234838666666667,28386419.0228048,77.907377,0.5624164450301171,2.284,4.759,3.476,4.761,3.479,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,512,1,1024,512,100,128,52428800,409600.0,37,150,380.374994,382.090707,1.575534,0.013528,2.5358332933333334,20675176.13947041,220.146074,0.5787606374566252,7.51,13.67,12.54,13.67,12.55,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,512,2,1024,512,100,128,52428800,409600.0,37,150,379.255845,380.95135,1.609269,0.012616,2.5283723,20736186.67630554,218.665816,0.5765654475279082,7.561,13.61,12.53,13.62,12.54,tiny,tiny,tiny,tiny,tiny
